month,year,trips,transport_type,load_timestamp
"Jan","2026","21","Al Mad","2026-02-27 02:23:27"
"Jan","2026","52","Algeri","2026-02-27 02:23:27"
"Jan","2026","27","Joton ","2026-02-27 02:23:27"
"Jan","2026","269","Jebel ","2026-02-27 02:23:27"
"Jan","2026","31411","Emirat","2026-02-27 02:23:27"
"Jan","2026","396","Satwa,","2026-02-27 02:23:27"
"Jan","2026","144","Rostam","2026-02-27 02:23:27"
"Jan","2026","2001","JVC, W","2026-02-27 02:23:27"
"Jan","2026","38","Ramoul","2026-02-27 02:23:27"
"Jan","2026","4453","Discov","2026-02-27 02:23:27"
"Jan","2026","202","World ","2026-02-27 02:23:27"
"Jan","2026","176","Al Quo","2026-02-27 02:23:27"
"Jan","2026","1514","Satwa,","2026-02-27 02:23:27"
"Jan","2026","37","Sigma ","2026-02-27 02:23:27"
"Jan","2026","229","Dubai ","2026-02-27 02:23:27"
"Jan","2026","433","Al Nah","2026-02-27 02:23:27"
"Jan","2026","30","Al Qus","2026-02-27 02:23:27"
"Jan","2026","47","Abu Ha","2026-02-27 02:23:27"
"Jan","2026","838","Wasl R","2026-02-27 02:23:27"
"Jan","2026","550","Jebel ","2026-02-27 02:23:27"
"Jan","2026","227","Downto","2026-02-27 02:23:27"
"Jan","2026","615","Satwa,","2026-02-27 02:23:27"
"Jan","2026","908","Al Qus","2026-02-27 02:23:27"
"Jan","2026","14","Royal ","2026-02-27 02:23:27"
"Jan","2026","330","Al Quo","2026-02-27 02:23:27"
"Jan","2026","23","Al Lus","2026-02-27 02:23:27"
"Jan","2026","592","Jumeir","2026-02-27 02:23:27"
"Jan","2026","354","Jebel ","2026-02-27 02:23:27"
"Jan","2026","243","Al Qus","2026-02-27 02:23:27"
"Jan","2026","32","Al Qus","2026-02-27 02:23:27"
"Jan","2026","372","Silico","2026-02-27 02:23:27"
"Jan","2026","367","World ","2026-02-27 02:23:27"
"Jan","2026","47","Media ","2026-02-27 02:23:27"
"Jan","2026","1154","The Gr","2026-02-27 02:23:27"
"Jan","2026","66","Dubai ","2026-02-27 02:23:27"
"Jan","2026","145","Al Bar","2026-02-27 02:23:27"
"Jan","2026","118","Kuwait","2026-02-27 02:23:27"
"Jan","2026","276","Ras Al","2026-02-27 02:23:27"
"Jan","2026","205","Hor Al","2026-02-27 02:23:27"
"Jan","2026","36198","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","798","Capita","2026-02-27 02:23:27"
"Jan","2026","17","Twar 1","2026-02-27 02:23:27"
"Jan","2026","82","Madina","2026-02-27 02:23:27"
"Jan","2026","1029","The Gr","2026-02-27 02:23:27"
"Jan","2026","42","Umm Ra","2026-02-27 02:23:27"
"Jan","2026","33144","DMCC M","2026-02-27 02:23:27"
"Jan","2026","3122","Rashid","2026-02-27 02:23:27"
"Jan","2026","637","Ibn Ba","2026-02-27 02:23:27"
"Jan","2026","8","Naif P","2026-02-27 02:23:27"
"Jan","2026","523","Ras Al","2026-02-27 02:23:27"
"Jan","2026","871","Capita","2026-02-27 02:23:27"
"Jan","2026","115","Techni","2026-02-27 02:23:27"
"Jan","2026","61","Sharja","2026-02-27 02:23:27"
"Jan","2026","189","Sheikh","2026-02-27 02:23:27"
"Jan","2026","31","The Me","2026-02-27 02:23:27"
"Jan","2026","181","Imam A","2026-02-27 02:23:27"
"Jan","2026","86","Amssar","2026-02-27 02:23:27"
"Jan","2026","155","Muhais","2026-02-27 02:23:27"
"Jan","2026","462","Dubai ","2026-02-27 02:23:27"
"Jan","2026","212","Arjan,","2026-02-27 02:23:27"
"Jan","2026","48","Deira ","2026-02-27 02:23:27"
"Jan","2026","1338","Mawake","2026-02-27 02:23:27"
"Jan","2026","61","Publis","2026-02-27 02:23:27"
"Jan","2026","150","Ras Al","2026-02-27 02:23:27"
"Jan","2026","439","Jumeir","2026-02-27 02:23:27"
"Jan","2026","77","Umm Su","2026-02-27 02:23:27"
"Jan","2026","184","Muhais","2026-02-27 02:23:27"
"Jan","2026","36","Jumeir","2026-02-27 02:23:27"
"Jan","2026","30","Hidaya","2026-02-27 02:23:27"
"Jan","2026","185","Wasl, ","2026-02-27 02:23:27"
"Jan","2026","129","Al Quo","2026-02-27 02:23:27"
"Jan","2026","43","Bits P","2026-02-27 02:23:27"
"Jan","2026","22610","Dubai ","2026-02-27 02:23:27"
"Jan","2026","12","Tela'a","2026-02-27 02:23:27"
"Jan","2026","175","Hamriy","2026-02-27 02:23:27"
"Jan","2026","124","Al Qus","2026-02-27 02:23:27"
"Jan","2026","347","Public","2026-02-27 02:23:27"
"Jan","2026","21","Deira ","2026-02-27 02:23:27"
"Jan","2026","43203","DMCC M","2026-02-27 02:23:27"
"Jan","2026","109","Ras Al","2026-02-27 02:23:27"
"Jan","2026","93","Amardi","2026-02-27 02:23:27"
"Jan","2026","295","Sharaf","2026-02-27 02:23:27"
"Jan","2026","24150","Emirat","2026-02-27 02:23:27"
